"","X","ticker","date","name","est","sector","industry","industry_group","marcap","invested_capital","total_equity","total_debt","pretax_income","dividends","roic"
"871",1,"OGX","2015-12-31",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,30740,13.15,15.79,0.04,-7.66,0,-0.582509505703422
"872",1,"OGY","2016-06-30",NA,NA,"Energy","Oil & Gas E&P",NA,5530,4.28,4.29,NA,-0.86,0,-0.200934579439252
"873",1,"OKJ","2016-06-30",NA,NA,NA,NA,NA,4080,2.28,2.28,NA,-0.52,0,-0.228070175438597
"874",1,"OLH","2015-06-30",NA,NA,"Basic Materials","Building Materials",NA,2470,9.41,4.89,5.29,-1.37,-0.15,-0.161530286928799
"875",1,"OLV","2016-06-30",NA,NA,NA,NA,NA,8360,3.56,3.56,NA,-6.36,0,-1.78651685393258
"876",1,"OML","2015-12-31",NA,NA,NA,NA,NA,738920,361.15,254.91,104.85,18.39,-4.2,0.0392911532604181
"877",1,"OMT","2015-12-31",NA,NA,NA,NA,NA,2750,4.17,4.17,NA,-2.85,0,-0.683453237410072
"878",1,"ONE","2015-12-31",NA,NA,NA,NA,NA,320610,47.4,47.4,NA,0,0,0
"879",1,"ONT","2016-06-30",NA,NA,"Healthcare","Health Care Plans",NA,182320,34.4,34.4,NA,7.62,-5.02,0.0755813953488372
"880",1,"OOK","2016-06-30",NA,NA,NA,NA,NA,3750,3.67,3.66,4950,9.39,0,2.55858310626703
"881",1,"OPG","2015-12-31",NA,NA,NA,NA,NA,46280,27.65,27.65,0.15,12.05,-0.96,0.401084990958409
"882",1,"OPT","2016-06-30",NA,NA,"Healthcare","Drug Manufacturers - Major",NA,114900,14.98,14.98,NA,-6.51,0,-0.434579439252336
"883",1,"ORA","2016-06-30",NA,NA,"Consumer Cyclical","Packaging & Containers",NA,3662370,2193.3,1497.6,695.7,168.6,-101.7,0.0305019833128163
"884",1,"ORE","2016-06-30",NA,NA,"Basic Materials","Copper",NA,645210,193.81,189.43,3.07,-21.91,NA,NA
"885",1,"ORH","2015-06-30",NA,NA,"Consumer Cyclical","Auto Manufacturers",NA,1030,-0.39,-1.45,1.06,-2.47,0,6.33333333333333
"886",1,"ORL","2016-07-31",NA,NA,"Consumer Cyclical","Apparel Stores",NA,96440,35.72,35.72,NA,3.44,-3.27,0.0047592385218365
"887",1,"ORM","2016-02-29",NA,NA,NA,NA,NA,1600,1.78,1.78,NA,-0.6,0,-0.337078651685393
"888",1,"ORR","2016-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,64940,18.78,18.78,NA,-3.6,0,-0.191693290734824
"889",1,"OSL","2016-06-30",NA,NA,"Healthcare","Diagnostics & Research",NA,48460,14.81,14.81,NA,-4.77,0,-0.322079675894666
"890",1,"OTH","2016-06-30",NA,NA,"Technology","Internet Content & Information",NA,68750,51.69,51.44,0.25,-3.15,0,-0.0609402205455601
"891",1,"OTI","2015-12-31",NA,NA,"Industrials","Diversified Industrials",NA,760,2.61,2.61,NA,0.65,0,0.24904214559387
"892",1,"OTW","2016-06-30",NA,NA,NA,NA,NA,115790,16.24,16.16,0.34,2.85,0,0.175492610837438
"893",1,"OVH","2016-06-30",NA,NA,"Financial Services","Asset Management",NA,125260,36.88,36.88,NA,-4.01,0,-0.108731019522777
"894",1,"OVR","2015-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,1740,2.06,2.06,NA,-32.95,0,-15.995145631068
"895",1,"OXX","2015-06-30",NA,NA,NA,NA,NA,6600,43.72,43.72,NA,-11.52,0,-0.263494967978042
"896",1,"OZL","2015-12-31",NA,NA,"Basic Materials","Copper",NA,1908590,2343.9,2343.9,NA,130.2,-18.2,0.0477836085157217
"897",1,"PAA","2016-06-30",NA,NA,NA,NA,NA,53910,5.62,5.02,0.61,-3.93,0,-0.699288256227758
"898",1,"PAB","2016-06-30",NA,NA,NA,NA,NA,4970,3.64,3.64,NA,-1.08,0,-0.296703296703297
"899",1,"PAC","2016-06-30",NA,NA,NA,NA,NA,112690,187.43,187.43,NA,-48.24,-13.36,-0.328656031585125
"900",1,"PAF","2016-06-30",NA,NA,NA,NA,NA,50130,57.68,56.75,0.93,-3.68,0,-0.0638002773925104
"901",1,"PAK","2015-12-31",NA,NA,NA,NA,NA,10300,3,3,NA,-0.22,0,-0.0733333333333333
"902",1,"PAN","2016-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,84610,102.16,102.16,1.6,-144.36,0,-1.41307752545027
"903",1,"PAW","2015-12-31",NA,NA,NA,NA,NA,0,-0.84,-0.84,NA,-0.13,0,0.154761904761905
"904",1,"PAY","2016-06-30",NA,NA,"Real Estate","Real Estate Services",NA,188480,597.52,275.81,401.52,84.26,0,0.141016200294551
